mean_distance,local_coherence,convergence_ratio,path_length,effective_dims,cluster_dispersion,max_distance,semantic_velocity,trajectory_curvature,topic_switching_rate,global_coherence,revisit_score,semantic_spread,file_id,question_id,n_turns
0.44535517671798847,0.6529912769004118,-0.21284083032775725,10.06325296988806,19,1.3213141410390588,0.9234630395202621,0.3470087230995883,1.9506346591659365,0.2413793103448276,0.7546456091574238,0.7064502646034592,0.10068799541572325,deepseek-R1_gemini-2.5-pro_o3_1_3_different_direct_discussion_Direct_all_at_once_fixed_pool_0_30_None,education_inequality,30
0.4041917156490939,0.6960805969072746,-0.07937858680660101,8.813662689689036,21,1.220065143604727,0.5856660758065318,0.30391940309272536,1.9763099602617988,0.2413793103448276,0.7805647578331759,0.6786110401837137,0.050035720994140796,deepseek-R1_gemini-2.5-pro_o3_1_3_different_direct_discussion_Direct_all_at_once_fixed_pool_0_30_None,employee_attrition,30
0.43897433116663626,0.6551591076820793,-0.050901672220200866,10.0003858772197,20,1.244510386283043,0.6335843281191527,0.34484089231792064,2.0144709966728076,0.27586206896551724,0.758721388776617,0.6838828633418567,0.052884702030570226,deepseek-R1_gemini-2.5-pro_o3_1_3_different_direct_discussion_Direct_all_at_once_fixed_pool_0_30_None,plastic_waste,30
0.4061769697078918,0.658631595827488,-0.09640664453438123,9.899683721002841,20,1.306853777918161,0.7997918885814836,0.34136840417251174,2.0073838937438016,0.7241379310344828,0.7793344994810956,0.7691660761440426,0.1017489038542175,deepseek-R1_gemini-2.5-pro_o3_1_3_different_direct_discussion_Direct_all_at_once_fixed_pool_0_30_None,singing_shower,30
0.4326688997145058,0.630168246108009,-0.10518153596829197,10.725120862867733,19,1.26044709454159,0.81076358206238,0.3698317538919908,2.0180431568417867,0.6206896551724138,0.7627276030428712,0.9999977030539667,0.09911523151602258,deepseek-R1_gemini-2.5-pro_o3_1_3_different_direct_discussion_Direct_all_at_once_fixed_pool_0_30_None,sorry_pandemic,30
0.4563165928952908,0.6819138177835575,-0.23377535671809369,9.224499284276826,20,1.2953121526144002,0.7015814503827922,0.31808618221644225,1.9665823949635401,0.20689655172413793,0.74759210793634,0.6474392172844726,0.057099793463030776,deepseek-R1_gemini-2.5-pro_o3_1_3_different_direct_discussion_Direct_all_at_once_fixed_pool_0_30_None,supply_chain,30
0.4433574098872167,0.6626688526269785,-0.05809509903380789,9.782603273817625,19,1.3269975262456273,0.8626589191436527,0.33733114737302156,1.9833772332371367,0.1724137931034483,0.7559240504584022,0.6345951202601958,0.09074200198752987,deepseek-R1_gemini-2.5-pro_o3_1_3_different_direct_discussion_Direct_all_at_once_fixed_pool_0_30_None_v1,education_inequality,30
0.4198223287652894,0.6423545041900655,0.0805246673079736,10.371719378488095,21,1.1893727975035784,0.6332607464996359,0.3576454958099343,1.9965367729820507,0.8275862068965517,0.7708253683559673,0.6982407807376144,0.05297457510772736,deepseek-R1_gemini-2.5-pro_o3_1_3_different_direct_discussion_Direct_all_at_once_fixed_pool_0_30_None_v1,employee_attrition,30
0.5293821002867803,0.5649582071393721,-0.09616573767176188,12.616211992958206,18,1.3566533611738378,0.916365491172183,0.4350417928606278,1.9963891831051568,0.6551724137931034,0.6987588776028837,0.7039477435673084,0.09750577034103856,deepseek-R1_gemini-2.5-pro_o3_1_3_different_direct_discussion_Direct_all_at_once_fixed_pool_0_30_None_v1,plastic_waste,30
0.36632294840070145,0.6998910435998732,0.1658393847547072,8.703159735603673,21,1.2392602377170914,0.5639362774448788,0.3001089564001267,1.9904642804670876,0.4482758620689655,0.8036714602637567,0.7761462553982115,0.058968327972867995,deepseek-R1_gemini-2.5-pro_o3_1_3_different_direct_discussion_Direct_all_at_once_fixed_pool_0_30_None_v1,singing_shower,30
